accession,lineage
EPI_ISL_12709244,BA.2
EPI_ISL_11994278,BA.2
EPI_ISL_13842730,BA.2
EPI_ISL_12248954,BA.2
EPI_ISL_13086185,B.1.1.529
EPI_ISL_11580297,B.1.1.529
EPI_ISL_13283234,BA.2
EPI_ISL_12134310,BA.2
EPI_ISL_13085365,BA.2
EPI_ISL_12587171,BA.2.6
EPI_ISL_12579999,BA.2.6
EPI_ISL_13085493,BA.2
EPI_ISL_12152793,BA.2
EPI_ISL_13262909,BA.2
EPI_ISL_13086388,BA.2
EPI_ISL_11995593,BA.2
EPI_ISL_9015961,AY.4
EPI_ISL_9425837,AY.122
EPI_ISL_12029486,BA.2.12.1
EPI_ISL_13959110,BA.2.12.1
EPI_ISL_13086329,BA.2
EPI_ISL_12374992,AY.43
EPI_ISL_12222210,AY.122
EPI_ISL_10134353,BA.2
EPI_ISL_13713897,BA.2.9.3
EPI_ISL_13085362,BA.2
EPI_ISL_10776825,AY.43
EPI_ISL_11998226,BA.2
EPI_ISL_13086283,BA.2
EPI_ISL_12995579,BA.5.2.1
EPI_ISL_13444585,BA.2.12.1
EPI_ISL_13084923,BA.2
EPI_ISL_13617602,BA.2
EPI_ISL_8463039,AY.126
EPI_ISL_12322424,BA.2
EPI_ISL_11871062,BA.2
EPI_ISL_9879519,B.1.617.2
EPI_ISL_12587125,BA.2
EPI_ISL_12789116,BA.2
EPI_ISL_9750809,BA.2
EPI_ISL_11557237,BA.1.1
EPI_ISL_9245675,AY.4
EPI_ISL_12152852,BA.1.1
EPI_ISL_12441790,BA.1.1
EPI_ISL_9602926,BA.1.1
EPI_ISL_13617712,BA.2
EPI_ISL_13085217,BA.2
EPI_ISL_12579860,BA.2
EPI_ISL_9426085,AY.34
EPI_ISL_11994657,AY.98.1
EPI_ISL_12717905,B.1.617.2
EPI_ISL_11171159,B.1.617.2
EPI_ISL_11372141,AY.126
EPI_ISL_12412748,BA.2
EPI_ISL_13363033,BA.2.15
EPI_ISL_10317681,AY.122
EPI_ISL_12512767,BA.2
EPI_ISL_13842782,BA.5.1
EPI_ISL_13514953,BA.2
EPI_ISL_10133375,AY.46
EPI_ISL_13085160,BA.2
EPI_ISL_13086448,BA.2.9.3
EPI_ISL_11278962,BA.1.1.15
EPI_ISL_11560279,BA.2
EPI_ISL_13743440,BA.2.12.1
EPI_ISL_13177609,BA.2.9
EPI_ISL_11278993,BA.2.10
EPI_ISL_11580353,BA.2
EPI_ISL_11372230,BA.2
EPI_ISL_9388319,AY.98.1
EPI_ISL_8873702,AY.5
EPI_ISL_9087438,AY.122
EPI_ISL_13262921,BA.4.1.1
EPI_ISL_12709287,BA.2
EPI_ISL_13957031,BA.2
EPI_ISL_13617064,BA.2
EPI_ISL_12512742,BA.2
EPI_ISL_13578636,BA.2
EPI_ISL_12412565,BA.2
EPI_ISL_13958890,BA.2.12.1
EPI_ISL_12005946,BA.2
EPI_ISL_12580001,BA.2
EPI_ISL_12259594,BA.5.2
EPI_ISL_14320762,BA.5.2
EPI_ISL_13068668,BA.2
EPI_ISL_11080570,AY.5.4
EPI_ISL_9791353,AY.4
EPI_ISL_12005972,BA.2
EPI_ISL_11840919,BA.2
EPI_ISL_9791394,B.1.617.2
EPI_ISL_13085136,BA.2.10
EPI_ISL_13136930,BA.2
EPI_ISL_10312828,AY.98.1
EPI_ISL_12029532,BA.2
EPI_ISL_11564584,BA.1.1
EPI_ISL_13086407,BA.2
EPI_ISL_12637389,BA.2
EPI_ISL_11223716,BA.1.1
EPI_ISL_11563338,BA.1.1.1
EPI_ISL_13085294,BA.2.9
EPI_ISL_13183301,BA.2.37
EPI_ISL_9322004,AY.43
EPI_ISL_8811436,AY.43
EPI_ISL_11279002,BA.2
EPI_ISL_13086098,BA.2.9.3
EPI_ISL_12065027,BA.2
EPI_ISL_9970900,AY.43.6
EPI_ISL_11567854,BA.2
EPI_ISL_13085438,BA.2
EPI_ISL_10947829,BA.2.9.3
EPI_ISL_13084894,BA.2.9.3
EPI_ISL_13616880,XAR
EPI_ISL_11563447,BA.2
EPI_ISL_11867934,BA.2
EPI_ISL_9791397,AY.46.6
EPI_ISL_9319521,AY.43
EPI_ISL_12996089,BA.2.9
EPI_ISL_13514025,BA.2
EPI_ISL_13085503,BA.2
EPI_ISL_11278961,BA.1.1.1
EPI_ISL_13514274,BA.2
EPI_ISL_12709528,BA.2
EPI_ISL_12065000,BA.2.9
EPI_ISL_12709645,BA.2
EPI_ISL_12029494,BA.2
EPI_ISL_12285195,BA.2.9.3
EPI_ISL_8699363,AY.4.2
EPI_ISL_11279019,BA.2
EPI_ISL_11563365,BA.2
EPI_ISL_12153865,B.1.1.529
EPI_ISL_12322406,BA.2.6
EPI_ISL_9321724,AY.92
EPI_ISL_12471805,BA.2
EPI_ISL_12812127,BA.2
EPI_ISL_13085023,BA.2.49
EPI_ISL_10099512,AY.122.6
EPI_ISL_8672195,BA.2
EPI_ISL_12442289,BA.2
EPI_ISL_13407802,AY.43
EPI_ISL_12280068,BA.2
EPI_ISL_10363003,AY.98.1
EPI_ISL_11840915,BA.2
EPI_ISL_11994244,BA.2
EPI_ISL_12996065,BA.2
EPI_ISL_12065004,BA.2
EPI_ISL_13085101,BA.2
EPI_ISL_12259593,BA.2
EPI_ISL_11564557,BA.1.1.1
EPI_ISL_11994268,BA.2.9.3
EPI_ISL_13376179,BA.2.9.3
EPI_ISL_13262897,BA.4.1
EPI_ISL_12134318,BA.2
EPI_ISL_11564615,BA.1.1.1
EPI_ISL_13086393,BA.2.6
EPI_ISL_9474795,AY.43
EPI_ISL_12254371,B.1.617.2
EPI_ISL_11579897,BA.2
EPI_ISL_8873716,AY.98.1
EPI_ISL_13253718,BA.2.18
EPI_ISL_9257724,BA.1.1.1
EPI_ISL_9321828,AY.98.1
EPI_ISL_13085975,BA.2
EPI_ISL_9002752,AY.9.2
EPI_ISL_12156061,BA.2
EPI_ISL_12155539,BA.2.3
EPI_ISL_13376063,BA.2.36
EPI_ISL_10312292,BA.1.18
EPI_ISL_9320873,AY.43
EPI_ISL_12322413,BA.2
EPI_ISL_13514031,BA.2
EPI_ISL_13086445,BA.2.9.3
EPI_ISL_11868420,AY.4
EPI_ISL_8929443,B.1.617.2
EPI_ISL_13085302,BA.2.36
EPI_ISL_12322435,BA.2
EPI_ISL_10352356,AY.127
EPI_ISL_10776826,AY.43
EPI_ISL_12812239,BA.2
EPI_ISL_8576468,AY.121
EPI_ISL_12714547,BA.2
EPI_ISL_11580003,BA.2
EPI_ISL_13321744,BA.2
EPI_ISL_12421846,BA.2
EPI_ISL_11563400,BA.2
EPI_ISL_11560256,BA.2
EPI_ISL_11504032,AY.43
EPI_ISL_11840881,BA.2
EPI_ISL_11994225,BA.2.11
EPI_ISL_13714511,B.1.617.2
EPI_ISL_11171166,B.1.617.2
EPI_ISL_12259602,BA.2.9
EPI_ISL_9425136,AY.122
EPI_ISL_13137041,BA.2
EPI_ISL_12156071,BA.2
EPI_ISL_13085210,BA.2
EPI_ISL_11273524,BA.2
EPI_ISL_13085403,BA.2
EPI_ISL_12691206,BA.2
EPI_ISL_12996338,B.1.617.2
EPI_ISL_9458363,AY.43
EPI_ISL_9603515,AY.43
EPI_ISL_12412588,BA.2
EPI_ISL_12064978,BA.2
EPI_ISL_12441756,BA.2
EPI_ISL_9388762,AY.4
EPI_ISL_12156073,BA.2
EPI_ISL_12579842,BA.2
EPI_ISL_11502844,AY.122
EPI_ISL_12286856,BA.1.1
EPI_ISL_13444674,BA.2.12.1
EPI_ISL_12322429,BA.2
EPI_ISL_13085406,BA.2
EPI_ISL_13084849,BA.2.56
EPI_ISL_13514494,BA.2.56
EPI_ISL_13514083,BA.2.54
EPI_ISL_13271317,BA.2
EPI_ISL_13177613,BA.2.3
EPI_ISL_12996073,BA.2
EPI_ISL_12624193,BA.2
EPI_ISL_13444698,BA.2.9
EPI_ISL_10358432,BA.2
EPI_ISL_13954934,BA.2
EPI_ISL_11995607,BA.2
EPI_ISL_13086386,BA.2
EPI_ISL_11223648,BA.1.1
EPI_ISL_9002750,AY.43
EPI_ISL_9796339,AY.43
EPI_ISL_9463381,AY.121
EPI_ISL_11580061,BA.2
EPI_ISL_13085965,BA.2
EPI_ISL_9791358,AY.43
EPI_ISL_13085204,BA.2.9
EPI_ISL_8812029,AY.43
EPI_ISL_12029579,BA.2
EPI_ISL_12133910,BA.1.1.1
EPI_ISL_13514017,BA.2
EPI_ISL_13954908,BA.2.35
EPI_ISL_11564531,BA.2
EPI_ISL_12709273,BA.2
EPI_ISL_12441765,BA.2
EPI_ISL_13271393,BA.2
EPI_ISL_11273556,BA.2
EPI_ISL_12587126,BA.2
EPI_ISL_12029511,BA.2
EPI_ISL_11840893,BA.2
EPI_ISL_9425958,AY.122
EPI_ISL_14224607,BA.1.1
EPI_ISL_9879534,BA.1.1
EPI_ISL_11278959,BA.1.1
EPI_ISL_13297259,BA.2.44
EPI_ISL_11580011,AY.43
EPI_ISL_12029570,BA.2
EPI_ISL_13430738,BA.2
EPI_ISL_11998225,BA.2.14
EPI_ISL_9425234,AY.43
EPI_ISL_10071278,AY.98.1
EPI_ISL_13137087,BA.2.3
EPI_ISL_11580336,B.1.617.2
EPI_ISL_13177610,BA.2
EPI_ISL_12254341,AY.43
EPI_ISL_12269276,B
EPI_ISL_12029536,BA.2
EPI_ISL_9855341,AY.43
EPI_ISL_12065428,AY.43
EPI_ISL_13842744,BA.5.2.20
EPI_ISL_13085401,BA.2.9.3
EPI_ISL_12005981,BA.2
EPI_ISL_13444629,BA.2
EPI_ISL_12152849,BA.2.9
EPI_ISL_13655355,BA.2
EPI_ISL_11171170,BA.2
EPI_ISL_13954914,BA.2
EPI_ISL_12580017,BA.2
EPI_ISL_11560258,BA.2
EPI_ISL_12248898,BA.2.9.4
EPI_ISL_12257465,AY.43
EPI_ISL_13514045,BA.2.9
EPI_ISL_11563513,BA.2
EPI_ISL_11563405,BA.2
EPI_ISL_13084838,BA.2
EPI_ISL_11995567,BA.1.18
EPI_ISL_9879532,BA.1.1.1
EPI_ISL_14320766,BA.2.9
EPI_ISL_13714510,BA.5.2.1
EPI_ISL_12322433,BA.2
EPI_ISL_11867687,BA.2
EPI_ISL_12132486,BA.2
EPI_ISL_13086286,BA.2
EPI_ISL_11586347,AY.43
EPI_ISL_11563399,BA.2
EPI_ISL_13955730,BA.2
EPI_ISL_10945906,AY.43
EPI_ISL_11582674,BA.2.9.3
EPI_ISL_12579832,BA.2.9.3
EPI_ISL_12587164,BA.2
EPI_ISL_13358232,AY.43
EPI_ISL_11564534,BA.1.18
EPI_ISL_14320968,BA.2.18
EPI_ISL_12709689,BA.2
EPI_ISL_11998116,BA.2
EPI_ISL_12709299,AY.43
EPI_ISL_9974038,AY.43
EPI_ISL_9257721,BA.1.1.1
EPI_ISL_13616637,BA.2
EPI_ISL_12254198,AY.9.2
EPI_ISL_12064987,BA.2
EPI_ISL_11563393,BA.2
EPI_ISL_12471810,BA.2
EPI_ISL_11583134,BA.2
EPI_ISL_12441770,BA.2
EPI_ISL_11212073,BA.2.3
EPI_ISL_12996088,BA.2
EPI_ISL_12477189,BA.2
EPI_ISL_9155819,AY.122
EPI_ISL_13955519,BA.2.69
EPI_ISL_10101103,AY.43
EPI_ISL_13515118,BA.2
EPI_ISL_13514085,BA.2
EPI_ISL_9429109,B.1.617.2
EPI_ISL_12442305,BA.2
EPI_ISL_12064985,BA.2.9
EPI_ISL_12709518,BA.2
EPI_ISL_13130677,BA.2.9.3
EPI_ISL_12512732,BA.2.6
EPI_ISL_11579846,BA.1
EPI_ISL_13842733,BA.5.1
EPI_ISL_13086061,BA.2.9.3
EPI_ISL_12452156,BA.2
EPI_ISL_11563344,BA.2
EPI_ISL_10021314,BA.1.1
EPI_ISL_9388308,AY.122
EPI_ISL_12079316,BA.2
EPI_ISL_12029508,BA.2
EPI_ISL_11995604,BA.2
EPI_ISL_13300445,BA.2.53
EPI_ISL_8672549,AY.122
EPI_ISL_13376115,BA.2
EPI_ISL_12156077,BA.2
EPI_ISL_12717906,BA.2
EPI_ISL_12709236,BA.2
EPI_ISL_10004747,BA.1.1
EPI_ISL_12452167,BA.2.9.3
EPI_ISL_13267304,BA.2.9.3
EPI_ISL_11372348,AY.122
EPI_ISL_9015960,AY.98.1
EPI_ISL_8812038,AY.122
EPI_ISL_13378683,BA.2.12.1
EPI_ISL_12280287,BA.2
EPI_ISL_11997119,BA.2
EPI_ISL_13283529,B.1.617.2
EPI_ISL_9357324,B.1.617.2
EPI_ISL_11462061,BA.2.10
EPI_ISL_8811827,AY.43
EPI_ISL_11278972,BA.2
EPI_ISL_8937408,AY.125
EPI_ISL_11560275,BA.2
EPI_ISL_13714474,BA.5.1.22
EPI_ISL_13714191,BA.2
EPI_ISL_12471798,BA.2
EPI_ISL_12279311,BA.2
EPI_ISL_13177560,BA.2.32
EPI_ISL_13883879,BA.2.3
EPI_ISL_12452170,BA.2
EPI_ISL_10888256,BA.2
EPI_ISL_12637671,BA.2
EPI_ISL_9798371,AY.43
EPI_ISL_12587204,BA.2
EPI_ISL_12452174,BA.2
EPI_ISL_12579888,BA.2
EPI_ISL_13616953,BA.2
EPI_ISL_12152864,BA.2
EPI_ISL_12617302,BA.2.49
EPI_ISL_12322434,BA.2
EPI_ISL_9319250,AY.4
EPI_ISL_11781162,BA.1.1.1
EPI_ISL_9257730,BA.2.3
EPI_ISL_12005991,BA.2.3
EPI_ISL_13085445,BA.2
EPI_ISL_11566729,BA.2
EPI_ISL_14320883,BA.2.12.1
EPI_ISL_9425827,AY.43
EPI_ISL_9314995,BA.2
EPI_ISL_11273551,BA.2
EPI_ISL_13085432,BA.2
EPI_ISL_13085077,BA.2
EPI_ISL_9879537,BA.1.15
EPI_ISL_13262906,BA.2.9
EPI_ISL_12005297,BA.2
EPI_ISL_13085228,BA.2
EPI_ISL_11279003,BA.5.1
EPI_ISL_9429108,BA.5.1
EPI_ISL_12995609,BA.5.1
EPI_ISL_12152815,AY.98.1
EPI_ISL_9319342,AY.98.1
EPI_ISL_12279373,BA.2
EPI_ISL_13958937,BA.2.18
EPI_ISL_11020728,AY.122
EPI_ISL_12441780,BA.2
EPI_ISL_13842789,BA.2
EPI_ISL_11918993,BA.2
EPI_ISL_9797438,AY.46
EPI_ISL_13084969,BA.2
EPI_ISL_12579994,BA.2
EPI_ISL_13842721,BE.1.1
EPI_ISL_12753549,BA.2
EPI_ISL_13177640,BA.2.50
EPI_ISL_13579426,BA.2.50
EPI_ISL_12641802,BA.2.50
EPI_ISL_13086239,BA.2
EPI_ISL_13483775,BA.2
EPI_ISL_13714513,BA.5.1
EPI_ISL_10358413,BA.2
EPI_ISL_12713261,BA.2.36
EPI_ISL_13085910,BA.2.36
EPI_ISL_13136939,BA.2
EPI_ISL_11994277,BA.2
EPI_ISL_9429115,AY.43
EPI_ISL_12215452,AY.43
EPI_ISL_11504082,AY.98.1
EPI_ISL_13842748,BA.5.1
EPI_ISL_11579855,BA.2.9.4
EPI_ISL_11814066,BA.2.9.4
EPI_ISL_9598202,AY.43
EPI_ISL_9002730,AY.43
EPI_ISL_13084868,BA.2
EPI_ISL_12064994,BA.2
EPI_ISL_10358425,BA.2
EPI_ISL_9855274,B.1.617.2
EPI_ISL_12441763,BA.2.23
EPI_ISL_11582318,BA.2
EPI_ISL_10719345,AY.98
EPI_ISL_10007036,BA.1.18
EPI_ISL_9599319,AY.43
EPI_ISL_12254830,BA.1.1
EPI_ISL_10134335,BA.1.1
EPI_ISL_13086281,BA.2
EPI_ISL_12617300,BA.2.9
EPI_ISL_13086030,BA.2.9
EPI_ISL_12029498,BA.2
EPI_ISL_12064983,BA.2
EPI_ISL_9862449,BA.1.1
EPI_ISL_9750869,BA.2
EPI_ISL_10100380,AY.43
EPI_ISL_11563328,BA.1.1
EPI_ISL_11372041,AY.98.1
EPI_ISL_13262892,BA.2.9
EPI_ISL_10071301,AY.4.13
EPI_ISL_13578639,BA.2
EPI_ISL_12753559,BA.2
EPI_ISL_13085031,BA.2
EPI_ISL_11560292,BA.2
EPI_ISL_12753564,BA.2
EPI_ISL_13362576,BA.2
EPI_ISL_12709208,BA.2
EPI_ISL_9704076,BA.1.1.1
EPI_ISL_9429117,BA.2.9
EPI_ISL_13086076,BA.2.9
EPI_ISL_13084934,BA.2
EPI_ISL_13010295,BA.2
EPI_ISL_9750811,BA.2
EPI_ISL_11868721,AY.4.2
EPI_ISL_12452163,BA.2.3.15
EPI_ISL_9791424,AY.125
EPI_ISL_11279006,BA.2.6
EPI_ISL_13262932,BA.2
EPI_ISL_13271279,BA.2
EPI_ISL_12709289,BA.2
EPI_ISL_12996069,BA.2
EPI_ISL_13323786,BA.2
EPI_ISL_11814226,BA.2
EPI_ISL_12995573,BA.2.6
EPI_ISL_9858094,AY.43
EPI_ISL_13002975,BA.2.9.3
EPI_ISL_8811828,AY.98.1
EPI_ISL_11328239,BA.2
EPI_ISL_13713609,BA.2
EPI_ISL_16467322,AY.127
EPI_ISL_9315384,AY.127
EPI_ISL_9340591,AY.98.1
EPI_ISL_12064989,BA.2
EPI_ISL_13446922,BA.2
EPI_ISL_10314478,BA.1.17
EPI_ISL_10004758,BA.2.3
EPI_ISL_11564568,BA.1.1.1
EPI_ISL_12065033,BA.2
EPI_ISL_11424264,BA.2
EPI_ISL_9155880,AY.43
EPI_ISL_12996031,BA.2
EPI_ISL_13036419,BA.2
EPI_ISL_12995606,BA.2.36
EPI_ISL_11560266,BA.2
EPI_ISL_13267401,BA.2
EPI_ISL_11507441,B.1.617.2
EPI_ISL_13267277,BA.2.36
EPI_ISL_11462082,BA.2
EPI_ISL_13085257,AY.4
EPI_ISL_10098716,AY.4
EPI_ISL_12285289,BA.2.14
EPI_ISL_12441785,BA.2
EPI_ISL_12065011,BA.2
EPI_ISL_11037088,B.1.1.529
EPI_ISL_11582725,BA.2
EPI_ISL_9388311,AY.4
EPI_ISL_13362560,BA.2
EPI_ISL_13068696,BA.2
EPI_ISL_11994276,BA.2
EPI_ISL_13086246,BA.2
EPI_ISL_13385050,BA.2
EPI_ISL_9515150,AY.126
EPI_ISL_11666858,BA.2
EPI_ISL_9245928,AY.43
EPI_ISL_11840934,BA.2
EPI_ISL_13304792,AY.46.6
EPI_ISL_12709519,BA.2
EPI_ISL_12398256,BA.2
EPI_ISL_13086117,BA.2
EPI_ISL_10358416,BA.2
EPI_ISL_9515153,BA.2
EPI_ISL_11326800,BA.2
EPI_ISL_13714162,BA.2
EPI_ISL_9791238,AY.43
EPI_ISL_11564563,BA.2.9.3
EPI_ISL_13085250,BA.2.9.3
EPI_ISL_13084885,BA.2.9.3
EPI_ISL_13480858,BA.2.9.3
EPI_ISL_13514251,BA.2
EPI_ISL_9795690,BA.2.23
EPI_ISL_12617157,BA.2.23
EPI_ISL_11037033,BA.2.23
EPI_ISL_12836153,AY.125
EPI_ISL_9320742,AY.125
EPI_ISL_13086004,BA.2
EPI_ISL_11563527,BA.1.1.1
EPI_ISL_13085473,BA.2
EPI_ISL_11279015,BA.2
EPI_ISL_13616648,BA.2
EPI_ISL_12152813,BA.2
EPI_ISL_11424438,AY.43.4
EPI_ISL_14320823,BA.2
EPI_ISL_10312306,BA.1.1.1
EPI_ISL_13714517,BA.2
EPI_ISL_12441768,BA.2
EPI_ISL_11317817,AY.46.6
EPI_ISL_12812124,B.1.1.529
EPI_ISL_11580278,B.1.1.529
EPI_ISL_11995598,BA.2
EPI_ISL_12465400,BA.2
EPI_ISL_13085071,BA.2
EPI_ISL_13085305,BA.2.9.3
EPI_ISL_13085355,BA.2
EPI_ISL_11732343,AY.43
EPI_ISL_9878371,AY.43
EPI_ISL_11140696,BA.2
EPI_ISL_13839554,AY.4
EPI_ISL_9425736,AY.4
EPI_ISL_12442287,BA.2
EPI_ISL_11504686,AY.98.1
EPI_ISL_13086262,BA.2.9
EPI_ISL_9750817,BA.2
EPI_ISL_13086021,BA.1.1
EPI_ISL_11563439,BA.1.1
EPI_ISL_13085319,BA.2
EPI_ISL_9156027,AY.43
EPI_ISL_12280291,BA.2
EPI_ISL_13842774,BA.5.1
EPI_ISL_8673007,B.1.617.2
EPI_ISL_9791387,AY.36
EPI_ISL_13713802,BA.2
EPI_ISL_13130705,BA.2.9
EPI_ISL_12714476,BA.2
EPI_ISL_13842741,BE.1.1
EPI_ISL_8929434,AY.122
EPI_ISL_12285269,BA.2.6
EPI_ISL_13271134,BA.2
EPI_ISL_13086056,BA.2
EPI_ISL_11994269,BA.2
EPI_ISL_12214592,AY.43
EPI_ISL_8463030,AY.43
EPI_ISL_13514517,BA.2.12.1
EPI_ISL_13300452,BA.2
EPI_ISL_11579800,BA.2
EPI_ISL_12709678,BA.2
EPI_ISL_11563504,BA.2
EPI_ISL_12836162,BA.2
EPI_ISL_12709301,BA.1.1
EPI_ISL_10134343,BA.1.1
EPI_ISL_12709277,BA.2
EPI_ISL_14439309,BA.2.18
EPI_ISL_13086269,BA.2
EPI_ISL_14193674,BA.2
EPI_ISL_12374946,AY.43
EPI_ISL_12280181,BA.2
EPI_ISL_13089427,AY.98.1
EPI_ISL_11580138,AY.98.1
EPI_ISL_12213871,AY.98.1
EPI_ISL_12248921,BA.2
EPI_ISL_13085786,BA.2
EPI_ISL_12248893,BA.2
EPI_ISL_12717892,BA.2
EPI_ISL_12280290,BA.2
EPI_ISL_12259596,BA.2
EPI_ISL_12995617,BA.2
EPI_ISL_12587183,BA.2
EPI_ISL_13842742,BA.5.1
EPI_ISL_9704061,BA.1.18
EPI_ISL_8812325,AY.98.1
EPI_ISL_12215062,AY.43
EPI_ISL_8812538,AY.121
EPI_ISL_13714516,BA.5.2.20
EPI_ISL_11273534,BA.2
EPI_ISL_13183302,BA.2
EPI_ISL_13010302,BA.2
EPI_ISL_13271268,BA.5.1.30
EPI_ISL_13714186,BA.2
EPI_ISL_12442282,BA.2
EPI_ISL_13086079,BA.2
EPI_ISL_11223670,BA.1.1
EPI_ISL_12005967,BA.2
EPI_ISL_13085519,AY.42
EPI_ISL_13027668,AY.42
EPI_ISL_13085174,BA.2
EPI_ISL_12322464,BA.2
EPI_ISL_13655756,AY.4.2.3
EPI_ISL_13616646,BA.2
EPI_ISL_11462121,BA.2
EPI_ISL_9388303,AY.43
EPI_ISL_11278973,BA.2
EPI_ISL_12194753,AY.5
EPI_ISL_12152861,BA.2
EPI_ISL_12587129,BA.2
EPI_ISL_12064971,BA.2
EPI_ISL_13085395,BA.2.3
EPI_ISL_11841741,BA.2.3
EPI_ISL_13085428,BA.2
EPI_ISL_13714487,BA.1.1.1
EPI_ISL_11579842,BA.1.1.1
EPI_ISL_12995464,BA.2
EPI_ISL_11273545,BA.2
EPI_ISL_13085505,BA.2
EPI_ISL_13086349,BA.2
EPI_ISL_11883262,AY.4
EPI_ISL_10717721,AY.4
EPI_ISL_9570632,BA.2.12.1
EPI_ISL_13714206,BA.2.12.1
EPI_ISL_13084846,BA.2
EPI_ISL_11580058,AY.126
EPI_ISL_12996037,BA.2
EPI_ISL_11564554,BA.2
EPI_ISL_12249446,BA.2
EPI_ISL_11580354,BA.2
EPI_ISL_11579882,BA.2
EPI_ISL_9314933,AY.43
EPI_ISL_13036423,BA.2
EPI_ISL_13085631,BA.2
EPI_ISL_11564543,BA.1.1.1
EPI_ISL_13085359,BA.2
EPI_ISL_12617273,BA.2.9
EPI_ISL_13713890,BA.2
EPI_ISL_9879539,BA.1.1
EPI_ISL_13085070,BA.2.9
EPI_ISL_10639151,BA.2.9.3
EPI_ISL_11560261,BA.2.9.3
EPI_ISL_8671789,AY.122
EPI_ISL_11279001,BA.2.6
EPI_ISL_12254873,AY.4.2
EPI_ISL_9245681,AY.4.2
EPI_ISL_12471797,BA.2
EPI_ISL_13262895,BA.2
EPI_ISL_13271431,BA.5.2
EPI_ISL_13444681,BA.2.12.1
EPI_ISL_9320363,AY.4.2.3
EPI_ISL_9602932,BA.1.1
EPI_ISL_9550583,BA.1.1
EPI_ISL_12177017,BA.2
EPI_ISL_11814238,BA.2
EPI_ISL_11579836,BA.2
EPI_ISL_13618420,BA.5.2.1
EPI_ISL_13713566,BA.2.56
EPI_ISL_12996078,BA.2
EPI_ISL_13617042,BA.2
EPI_ISL_12155352,BA.2
EPI_ISL_10266433,BA.2
EPI_ISL_11567913,BA.2
EPI_ISL_11563386,BA.1.1.1
EPI_ISL_9416049,AY.43
EPI_ISL_9425417,AY.43
EPI_ISL_13084906,BA.2.9.3
EPI_ISL_13617719,BA.2
EPI_ISL_12285283,BA.2
EPI_ISL_13086449,BA.2.5
EPI_ISL_12751861,BA.2
EPI_ISL_9245684,AY.122
EPI_ISL_9428246,AY.122
EPI_ISL_12005980,BA.2
EPI_ISL_9143409,B.1.640.1
EPI_ISL_12134316,BA.2
EPI_ISL_12259590,BA.2
EPI_ISL_9602952,BA.2.6
EPI_ISL_12637387,BA.2
EPI_ISL_13271102,BA.2.9.3
EPI_ISL_11563368,BA.1.1.1
EPI_ISL_13579436,BA.2.3
EPI_ISL_12280285,BA.2
EPI_ISL_12709320,BA.2
EPI_ISL_12248888,BA.2
EPI_ISL_10267527,B.1.617.2
EPI_ISL_12441781,BA.2
EPI_ISL_9319351,B.1.617.2
EPI_ISL_11563380,BA.1.1
EPI_ISL_11586187,AY.43
EPI_ISL_13086161,BA.2
EPI_ISL_10362887,BA.2
EPI_ISL_12477159,BA.2
EPI_ISL_12995436,BA.2
EPI_ISL_13130642,BA.2
EPI_ISL_12248926,BA.2
EPI_ISL_12706496,BA.2.12.1
EPI_ISL_13614222,BA.2.12.1
EPI_ISL_13085066,BA.2
EPI_ISL_16507433,BA.1
EPI_ISL_13371056,BA.2.12.1
EPI_ISL_13955537,BA.2.12.1
EPI_ISL_10314386,BA.2
EPI_ISL_13086114,BA.2
EPI_ISL_10894137,BA.2
EPI_ISL_13084886,BA.2
EPI_ISL_13085344,BA.2
EPI_ISL_12249439,BA.2
EPI_ISL_12452155,BA.2
EPI_ISL_12065047,BA.2
EPI_ISL_12279395,BA.2
EPI_ISL_10312946,AY.43
EPI_ISL_11225566,AY.46.2
EPI_ISL_13655432,BA.2
EPI_ISL_13297266,BA.2.11
EPI_ISL_13514041,BA.2.9.3
EPI_ISL_13267269,BA.2.9.3
EPI_ISL_9425414,AY.46.6
EPI_ISL_13084428,BA.2
EPI_ISL_9426005,BA.2
EPI_ISL_12579841,BA.2
EPI_ISL_12641879,BA.2
EPI_ISL_12412802,BA.2
EPI_ISL_13713723,AY.98.1
EPI_ISL_11371825,AY.98.1
EPI_ISL_13086128,BA.2
EPI_ISL_11498015,BA.2.12.1
EPI_ISL_13616819,BA.2.12.1
EPI_ISL_12064976,BA.2
EPI_ISL_11273521,BA.2
EPI_ISL_13086197,BA.2
EPI_ISL_12285204,BA.2
EPI_ISL_11278983,BA.2
EPI_ISL_9600531,AY.43
EPI_ISL_12579846,BA.2
EPI_ISL_13085267,BA.2
EPI_ISL_11279024,BA.2
EPI_ISL_9315557,AY.123
EPI_ISL_13616814,BA.2
EPI_ISL_10097315,B.1.617.2
EPI_ISL_13084983,AY.4.2.3
EPI_ISL_11870886,AY.4.2.3
EPI_ISL_12259597,AY.4.2
EPI_ISL_11504061,AY.4.2
EPI_ISL_13514167,BA.2
EPI_ISL_11371431,BA.1.1
EPI_ISL_13375947,BA.2
EPI_ISL_13068718,BA.2
EPI_ISL_13714063,BA.2
EPI_ISL_13514299,BA.2
EPI_ISL_13842740,BA.5.1
EPI_ISL_13085053,BA.2
EPI_ISL_10071272,AY.98.1
EPI_ISL_12259606,BA.2.9
EPI_ISL_13137005,AY.111
EPI_ISL_9600702,AY.111
EPI_ISL_11041260,AY.9
EPI_ISL_10366506,B.1.617.2
EPI_ISL_13515021,BA.2
